product_name,product_type,sales_volume,price,sale_time,date,platform,brand,review,rating
Bút kẻ mày,Reactive tangible pricing structure,4579,219.24,Tháng 10,23/01/2024,Lazada,Fanta,198 3.9,
Nội thất,Streamlined tangible toolset,99,461.93,Tháng 2,26/06/2022,Shopee,Dr. Jart+,386 1.3,
Kem chống nắng vật lý,Grass-roots fault-tolerant migration,4579,350.89,Tháng 4,23/08/2024,Lazada,Neutrogena,866 2.9,
Kem chống nắng vật lý,Proactive web-enabled capacity,241,286.54,Tháng 3,09/01/2022,Lazada,Garnier,998 5.0,
Son môi,Premium quality lip care,3245,125.50,Tháng 5,15/03/2024,Shopee,MAC,1250 4.2,
Nước hoa,Luxury fragrance collection,892,459.99,Tháng 6,28/02/2024,Lazada,Chanel,567 4.8,
Kem dưỡng da,Advanced skincare formula,2156,189.75,Tháng 7,12/04/2024,Shopee,Olay,743 4.1,
Mascara,Volumizing mascara,1876,95.25,,18/05/2024,Lazada,Maybelline,423 3.7,
Phấn phủ,Matte finish powder,3421,165.30,Tháng 8,22/06/2024,Shopee,L'Oreal,891 4.3,
Serum vitamin C,Anti-aging serum,1543,299.99,Tháng 9,05/07/2024,Lazada,The Ordinary,1123 4.6,
Sữa rửa mặt,Gentle cleansing foam,4231,78.45,,14/08/2024,Shopee,Cetaphil,1567 4.4,
Tẩy trang,Makeup remover,2987,156.80,Tháng 11,29/09/2024,Lazada,Bioderma,678 4.0,
Kem chống nắng,SPF50+ sunscreen,1765,245.60,Tháng 12,03/10/2024,Shopee,La Roche Posay,934 4.5,
Nước toner,Hydrating toner,3654,123.90,,17/11/2024,Lazada,Pixi,1234 3.9,
Mặt nạ,Hydrating face mask,2143,87.30,Tháng 1,25/12/2024,Shopee,Freeman,567 3.8,
